id,verdict,sentential,normative,referential,process,data,human,atomicity,completeness,self_sufficiency,atomicity_aggregate
663,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
664,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
665,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
666,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
667,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
668,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
669,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
670,No,Complete,N,Complete,Independent,Dependent,Independent,,Incomplete,No,
671,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
672,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
673,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
674,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
675,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
676,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
677,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
678,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
679,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
680,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
681,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
682,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
683,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
684,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
685,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
686,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
687,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
688,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
689,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
690,No,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
691,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
692,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
693,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
694,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
695,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
696,No,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,No,
697,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
698,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
699,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
700,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
